排名,主播,平台,类别,直播间地址
1,卡尔,虎牙,英雄联盟,http://www.huya.com/kaerlol
2,旭旭宝宝,龙珠,地下城与勇士,http://star.longzhu.com/xuxubaobao
3,刘杀鸡,熊猫,绝地求生,http://www.panda.tv/66666
4,哈迪斯,虎牙,王者荣耀,http://www.huya.com/haddis
5,高冷男神钱小佳,斗鱼,户外,https://www.douyu.com/229346
6,Style丶董小飒-90327,虎牙,绝地求生,http://www.huya.com/dongxiaosa
7,黑店百地,虎牙,绝地求生,http://www.huya.com/heigou
8,小战,虎牙,绝地求生,http://www.huya.com/xiaozhan
9,pigff,斗鱼,绝地求生,https://www.douyu.com/24422
10,英雄联盟职业联赛,全民,英雄联盟,http://www.quanmin.tv/44397
11,彡彡九户外,斗鱼,户外,https://www.douyu.com/485503
12,伍声2009,熊猫,绝地求生,http://www.panda.tv/2009
13,晴天,虎牙,王者荣耀,http://www.huya.com/qingtiandiyi
14,王师傅,熊猫,炉石传说,http://www.panda.tv/10029
15,炸姐ADC,虎牙,英雄联盟,http://www.huya.com/baozha
16,嗨氏,斗鱼,王者荣耀,https://www.douyu.com/1229
17,仙凡哥哥丶,斗鱼,英雄联盟,https://www.douyu.com/787579
18,拉风龙,虎牙,绝地求生,http://www.huya.com/lafeng
19,正恒丶西门,虎牙,英雄联盟,http://www.huya.com/ximen
20,饼干狂魔MasterB,斗鱼,英雄联盟,https://www.douyu.com/4809
21,东北大鹌鹑,斗鱼,英雄联盟,https://www.douyu.com/96291
22,正恒丶童话,虎牙,绝地求生,http://www.huya.com/tonghua
23,星辉-大锤哥,虎牙,绝地求生,http://www.huya.com/161748674
24,东辰_曹操大表哥,虎牙,王者荣耀,http://www.huya.com/1778020527
25,人民日报,一直播,娱乐星秀,http://www.yizhibo.com/l/8_VNzryIenSQ-V2T.html
26,Pc冷冷,斗鱼,绝地求生,https://www.douyu.com/20360
27,雅诗兰黛,一直播,娱乐星秀,http://www.yizhibo.com/l/I2rlyJqgE3hS_4mQ.html
28,指法芬芳张大仙,斗鱼,王者荣耀,https://www.douyu.com/688
29,Style丶楚河-90327,虎牙,主机游戏,http://www.huya.com/chuhe
30,China丶猴三棍,虎牙,王者荣耀,http://www.huya.com/housangun
31,八神,虎牙,英雄联盟,http://www.huya.com/bashen
32,yyfyyf1,斗鱼,DOTA2,https://www.douyu.com/58428
33,洞主丨歌神洞庭湖,斗鱼,英雄联盟,https://www.douyu.com/138243
34,英雄联盟职业联赛,龙珠,英雄联盟,http://star.longzhu.com/lpl
35,冯提莫,斗鱼,英雄联盟,https://www.douyu.com/71017
36,小浪浪yay,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=5562826
37,上好佳,虎牙,王者荣耀,http://www.huya.com/13736172
38,芜湖神,虎牙,英雄联盟,http://www.huya.com/wuhushenkp
39,解放大官人,斗鱼,绝地求生,https://www.douyu.com/262877
40,爱拍涛哥剑圣,虎牙,英雄联盟,http://www.huya.com/taogejs
41,花花,触手,绝地求生：刺激战场,https://chushou.tv/room/19395.htm
42,蓝烟々,触手,绝地求生,https://chushou.tv/room/21785.htm
43,聆听-旋律,虎牙,英雄联盟,http://www.huya.com/xuanlv
44,翡翠永德祥,一直播,娱乐星秀,http://www.yizhibo.com/l/yWaPjvqA2DMYur1v.html
45,翡翠魔力,一直播,娱乐星秀,http://www.yizhibo.com/l/1oi7_5DTYkzMF2Cd.html
46,mds丶剑仙,触手,王者荣耀,https://chushou.tv/room/39849.htm
47,胖胖灬,斗鱼,英雄联盟,https://www.douyu.com/31107
48,东辰-小潮,虎牙,王者荣耀,http://www.huya.com/chaojie
49,大大,虎牙,绝地求生,http://www.huya.com/dada2
50,老实敦厚的笑笑,龙珠,英雄联盟,http://star.longzhu.com/777777
51,骚男,虎牙,英雄联盟,http://www.huya.com/saonan
52,诗仙小哥哥-豚首,企鹅电竞,绝地求生,http://egame.qq.com/live?anchorid=5418301
53,lol2018lpl,战旗,英雄联盟,https://www.zhanqi.tv/lpl/111243
54,错觉老中医,熊猫,绝地求生,http://www.panda.tv/10006
55,IamMoney,一直播,娱乐星秀,http://www.yizhibo.com/l/BRm8SJ5yPdn26VW0.html
56,太白,虎牙,王者荣耀,http://www.huya.com/xuran
57,AzZ丶狂人,虎牙,地下城与勇士,http://www.huya.com/kuangren
58,Happy丨猫腻,斗鱼,绝地求生,https://www.douyu.com/65848
59,传复古微变星王合击奇,虎牙,热血传奇,http://www.huya.com/hp180
60,叫我久哥哥,斗鱼,英雄联盟,https://www.douyu.com/271934
61,恩基爱萌萌哒的狗贼,斗鱼,炉石传说,https://www.douyu.com/208114
62,Dopa,虎牙,英雄联盟,http://www.huya.com/90888dopa
63,Dae-韩跑跑,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=432863
64,隔壁老王,全民,英雄联盟,http://www.quanmin.tv/321
65,小狼小狼哥哥,触手,绝地求生：刺激战场,https://chushou.tv/room/12798.htm
66,PandaKill第四季,熊猫,狼人杀,http://www.panda.tv/1519262
67,超级小桀,斗鱼,主机游戏,https://www.douyu.com/74751
68,Night丶杀神风,熊猫,英雄联盟,http://www.panda.tv/16666
69,爱拍-工藤瑶,虎牙,星秀,http://www.huya.com/koujiaoyao
70,呆妹儿小霸王,斗鱼,绝地求生,https://www.douyu.com/2947432
71,正恒丶小跟班,虎牙,吃喝玩乐,http://www.huya.com/xiaonaigou
72,楚恒-BB文,虎牙,绝地求生,http://www.huya.com/bbwen
73,传复古微变星王合击奇,虎牙,热血传奇,http://www.huya.com/999uf
74,TD丶正直博,斗鱼,户外,https://www.douyu.com/533813
75,峰峰三号333,斗鱼,户外,https://www.douyu.com/554559
76,魔兽后裔,熊猫,英雄联盟,http://www.panda.tv/11010
77,痒局长,哔哩哔哩,生活娱乐,http://live.bilibili.com/528
78,2d战衣托儿索,熊猫,绝地求生,http://www.panda.tv/10066
79,熊jolababy,斗鱼,炉石传说,https://www.douyu.com/65962
80,王重,一直播,娱乐星秀,http://www.yizhibo.com/l/y81IM7bGi6gzsu6A.html
81,米拉女神,映客,颜值,http://www.inke.cn/live.html?uid=609380296&id=1511407650334242
82,赵导吖,花椒,脱口秀,http://www.huajiao.com/l/213690880
83,你的盖世girl,一直播,娱乐星秀,http://www.yizhibo.com/l/CcoCBWm9Cm1BRFX6.html
84,耀神第一李白-Dae,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=212680135
85,sy是个萌妹,虎牙,绝地求生,http://www.huya.com/sy233
86,苏小白【收徒】,一直播,娱乐星秀,http://www.yizhibo.com/l/RDDBqrBwddCt0Vxk.html
87,董月月,虎牙,英雄联盟,http://www.huya.com/loldongyueyue
88,250帅比在石250,斗鱼,户外,https://www.douyu.com/518512
89,Style丶小海-90327,虎牙,绝地求生,http://www.huya.com/badaozongcai
90,大宋第一人,映客,颜值,http://www.inke.cn/live.html?uid=613690788&id=1511353555105248
91,小子y,斗鱼,英雄联盟,https://www.douyu.com/530791
92,EL-企鹅电竞阡陌,企鹅电竞,CF荒岛特训,http://egame.qq.com/live?anchorid=100183
93,wtybill,斗鱼,炉石传说,https://www.douyu.com/57321
94,inke哥,映客,颜值,http://www.inke.cn/live.html?uid=609374004&id=1512133252613161
95,乐天派,映客,颜值,http://www.inke.cn/live.html?uid=613692367&id=1511354936827049
96,美猴王,映客,颜值,http://www.inke.cn/live.html?uid=613690243&id=1511504569061086
97,星爷系列电影,映客,颜值,http://www.inke.cn/live.html?uid=598548083&id=1510724127393986
