Rank,Streamer,Platform,Category,URL
1,kaerlol,虎牙,LOL,http://www.huya.com/kaerlol
2,xuxubaobao,龙珠,DNF,http://star.longzhu.com/xuxubaobao
3,66666,熊猫,PUBG,http://www.panda.tv/66666
4,haddis,虎牙,王者荣耀,http://www.huya.com/haddis
5,229346,斗鱼,TRAVELING,https://www.douyu.com/229346
6,dongxiaosa,虎牙,PUBG,http://www.huya.com/dongxiaosa
7,heigou,虎牙,PUBG,http://www.huya.com/heigou
8,xiaozhan,虎牙,PUBG,http://www.huya.com/xiaozhan
9,24422,斗鱼,PUBG,https://www.douyu.com/24422
10,44397,全民,LOL,http://www.quanmin.tv/44397
11,485503,斗鱼,TRAVELING,https://www.douyu.com/485503
12,2009,熊猫,PUBG,http://www.panda.tv/2009
13,qingtiandiyi,虎牙,王者荣耀,http://www.huya.com/qingtiandiyi
14,10029,熊猫,炉石传说,http://www.panda.tv/10029
15,baozha,虎牙,LOL,http://www.huya.com/baozha
16,1229,斗鱼,王者荣耀,https://www.douyu.com/1229
17,787579,斗鱼,LOL,https://www.douyu.com/787579
18,lafeng,虎牙,PUBG,http://www.huya.com/lafeng
19,ximen,虎牙,LOL,http://www.huya.com/ximen
20,4809,斗鱼,LOL,https://www.douyu.com/4809
21,96291,斗鱼,LOL,https://www.douyu.com/96291
22,tonghua,虎牙,PUBG,http://www.huya.com/tonghua
23,161748674,虎牙,PUBG,http://www.huya.com/161748674
24,1778020527,虎牙,王者荣耀,http://www.huya.com/1778020527
25,8_VNzryIenSQ-V2T.html,一直播,娱乐星秀,http://www.yizhibo.com/l/8_VNzryIenSQ-V2T.html
26,20360,斗鱼,PUBG,https://www.douyu.com/20360
27,I2rlyJqgE3hS_4mQ.html,一直播,娱乐星秀,http://www.yizhibo.com/l/I2rlyJqgE3hS_4mQ.html
28,688,斗鱼,王者荣耀,https://www.douyu.com/688
29,chuhe,虎牙,主机游戏,http://www.huya.com/chuhe
30,housangun,虎牙,王者荣耀,http://www.huya.com/housangun
31,bashen,虎牙,LOL,http://www.huya.com/bashen
32,58428,斗鱼,DOTA2,https://www.douyu.com/58428
33,138243,斗鱼,LOL,https://www.douyu.com/138243
34,lpl,龙珠,LOL,http://star.longzhu.com/lpl
35,71017,斗鱼,LOL,https://www.douyu.com/71017
36,live?anchorid=5562826,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=5562826
37,13736172,虎牙,王者荣耀,http://www.huya.com/13736172
38,wuhushenkp,虎牙,LOL,http://www.huya.com/wuhushenkp
39,262877,斗鱼,PUBG,https://www.douyu.com/262877
40,taogejs,虎牙,LOL,http://www.huya.com/taogejs
41,19395.htm,触手,绝地求生：刺激战场,https://chushou.tv/room/19395.htm
42,21785.htm,触手,PUBG,https://chushou.tv/room/21785.htm
43,xuanlv,虎牙,LOL,http://www.huya.com/xuanlv
44,yWaPjvqA2DMYur1v.html,一直播,娱乐星秀,http://www.yizhibo.com/l/yWaPjvqA2DMYur1v.html
45,1oi7_5DTYkzMF2Cd.html,一直播,娱乐星秀,http://www.yizhibo.com/l/1oi7_5DTYkzMF2Cd.html
46,39849.htm,触手,王者荣耀,https://chushou.tv/room/39849.htm
47,31107,斗鱼,LOL,https://www.douyu.com/31107
48,chaojie,虎牙,王者荣耀,http://www.huya.com/chaojie
49,dada2,虎牙,PUBG,http://www.huya.com/dada2
50,777777,龙珠,LOL,http://star.longzhu.com/777777
51,saonan,虎牙,LOL,http://www.huya.com/saonan
52,live?anchorid=5418301,企鹅电竞,PUBG,http://egame.qq.com/live?anchorid=5418301
53,111243,战旗,LOL,https://www.zhanqi.tv/lpl/111243
54,10006,熊猫,PUBG,http://www.panda.tv/10006
55,BRm8SJ5yPdn26VW0.html,一直播,娱乐星秀,http://www.yizhibo.com/l/BRm8SJ5yPdn26VW0.html
56,xuran,虎牙,王者荣耀,http://www.huya.com/xuran
57,kuangren,虎牙,DNF,http://www.huya.com/kuangren
58,65848,斗鱼,PUBG,https://www.douyu.com/65848
59,hp180,虎牙,热血传奇,http://www.huya.com/hp180
60,271934,斗鱼,LOL,https://www.douyu.com/271934
61,208114,斗鱼,炉石传说,https://www.douyu.com/208114
62,90888dopa,虎牙,LOL,http://www.huya.com/90888dopa
63,live?anchorid=432863,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=432863
64,321,全民,LOL,http://www.quanmin.tv/321
65,12798.htm,触手,绝地求生：刺激战场,https://chushou.tv/room/12798.htm
66,1519262,熊猫,狼人杀,http://www.panda.tv/1519262
67,74751,斗鱼,主机游戏,https://www.douyu.com/74751
68,16666,熊猫,LOL,http://www.panda.tv/16666
69,koujiaoyao,虎牙,星秀,http://www.huya.com/koujiaoyao
70,2947432,斗鱼,PUBG,https://www.douyu.com/2947432
71,xiaonaigou,虎牙,吃喝玩乐,http://www.huya.com/xiaonaigou
72,bbwen,虎牙,PUBG,http://www.huya.com/bbwen
73,999uf,虎牙,热血传奇,http://www.huya.com/999uf
74,533813,斗鱼,TRAVELING,https://www.douyu.com/533813
75,554559,斗鱼,TRAVELING,https://www.douyu.com/554559
76,11010,熊猫,LOL,http://www.panda.tv/11010
77,528,哔哩哔哩,生活娱乐,http://live.bilibili.com/528
78,10066,熊猫,PUBG,http://www.panda.tv/10066
79,65962,斗鱼,炉石传说,https://www.douyu.com/65962
80,y81IM7bGi6gzsu6A.html,一直播,娱乐星秀,http://www.yizhibo.com/l/y81IM7bGi6gzsu6A.html
81,live.html?uid=609380296&id=1511407650334242,映客,颜值,http://www.inke.cn/live.html?uid=609380296&id=1511407650334242
82,213690880,花椒,脱口秀,http://www.huajiao.com/l/213690880
83,CcoCBWm9Cm1BRFX6.html,一直播,娱乐星秀,http://www.yizhibo.com/l/CcoCBWm9Cm1BRFX6.html
84,live?anchorid=212680135,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=212680135
85,sy233,虎牙,PUBG,http://www.huya.com/sy233
86,RDDBqrBwddCt0Vxk.html,一直播,娱乐星秀,http://www.yizhibo.com/l/RDDBqrBwddCt0Vxk.html
87,loldongyueyue,虎牙,LOL,http://www.huya.com/loldongyueyue
88,518512,斗鱼,TRAVELING,https://www.douyu.com/518512
89,badaozongcai,虎牙,PUBG,http://www.huya.com/badaozongcai
90,live.html?uid=613690788&id=1511353555105248,映客,颜值,http://www.inke.cn/live.html?uid=613690788&id=1511353555105248
91,530791,斗鱼,LOL,https://www.douyu.com/530791
92,live?anchorid=100183,企鹅电竞,CF荒岛特训,http://egame.qq.com/live?anchorid=100183
93,57321,斗鱼,炉石传说,https://www.douyu.com/57321
94,live.html?uid=609374004&id=1512133252613161,映客,颜值,http://www.inke.cn/live.html?uid=609374004&id=1512133252613161
95,live.html?uid=613692367&id=1511354936827049,映客,颜值,http://www.inke.cn/live.html?uid=613692367&id=1511354936827049
96,live.html?uid=613690243&id=1511504569061086,映客,颜值,http://www.inke.cn/live.html?uid=613690243&id=1511504569061086
97,live.html?uid=598548083&id=1510724127393986,映客,颜值,http://www.inke.cn/live.html?uid=598548083&id=1510724127393986
98,199211,全民,PUBG,http://www.quanmin.tv/199211
99,80000,熊猫,PUBG,http://www.panda.tv/80000
100,live.html?uid=610541900&id=1510729891583279,映客,颜值,http://www.inke.cn/live.html?uid=610541900&id=1510729891583279
101,live.html?uid=615821749&id=1511935409940662,映客,颜值,http://www.inke.cn/live.html?uid=615821749&id=1511935409940662
102,2311698,斗鱼,PUBG,https://www.douyu.com/2311698
103,live.html?uid=609380556&id=1511407332170315,映客,颜值,http://www.inke.cn/live.html?uid=609380556&id=1511407332170315
104,666uf,虎牙,热血传奇,http://www.huya.com/666uf
105,live.html?uid=610533648&id=1510729983887106,映客,颜值,http://www.inke.cn/live.html?uid=610533648&id=1510729983887106
106,live.html?uid=610541719&id=1511356069087792,映客,颜值,http://www.inke.cn/live.html?uid=610541719&id=1511356069087792
107,live.html?uid=615820616&id=1511935978029062,映客,颜值,http://www.inke.cn/live.html?uid=615820616&id=1511935978029062
108,1563902,熊猫,熊猫星秀,http://www.panda.tv/1563902
109,live.html?uid=612293295&id=1511270713666171,映客,颜值,http://www.inke.cn/live.html?uid=612293295&id=1511270713666171
110,live.html?uid=598546613&id=1512133128167288,映客,颜值,http://www.inke.cn/live.html?uid=598546613&id=1512133128167288
111,live.html?uid=615820140&id=1512132733817313,映客,颜值,http://www.inke.cn/live.html?uid=615820140&id=1512132733817313
112,47307,虎牙,王者荣耀,http://www.huya.com/47307
113,10015,熊猫,PUBG,http://www.panda.tv/10015
114,152246,龙珠,龙珠拼盘,http://star.longzhu.com/152246
115,88888,熊猫,PUBG,http://www.panda.tv/88888
116,86888,6间房,娱乐星秀,http://v.6.cn/86888
117,52065.htm,触手,绝地求生：刺激战场,https://chushou.tv/room/52065.htm
118,live.html?uid=601418370&id=1512133209808816,映客,颜值,http://www.inke.cn/live.html?uid=601418370&id=1512133209808816
119,chenzihao,虎牙,PUBG,http://www.huya.com/chenzihao
120,live?anchorid=339239427,企鹅电竞,LOL,http://egame.qq.com/live?anchorid=339239427
121,live?anchorid=140796111,企鹅电竞,绝地求生 刺激战场,http://egame.qq.com/live?anchorid=140796111
122,205690367,花椒,颜值,http://www.huajiao.com/l/205690367
123,666666,熊猫,PUBG,http://www.panda.tv/666666
124,29105,全民,LOL,http://www.quanmin.tv/29105
125,shouwang,虎牙,LOL,http://www.huya.com/shouwang
126,102411,斗鱼,LOL,https://www.douyu.com/102411
127,live.html?uid=615821365&id=1512132772134525,映客,颜值,http://www.inke.cn/live.html?uid=615821365&id=1512132772134525
128,live.html?uid=598547600&id=1510729367545646,映客,颜值,http://www.inke.cn/live.html?uid=598547600&id=1510729367545646
129,777,网易CC,其他,http://cc.163.com/777
130,smg5a,虎牙,LOL,http://www.huya.com/smg5a
131,live.html?uid=598548660&id=1512132761695042,映客,颜值,http://www.inke.cn/live.html?uid=598548660&id=1512132761695042
132,1126960,斗鱼,LOL,https://www.douyu.com/1126960
133,12313,斗鱼,LOL,https://www.douyu.com/12313
134,70000,熊猫,PUBG,http://www.panda.tv/70000
135,1631631,熊猫,炉石传说,http://www.panda.tv/1631631
136,shabusi,虎牙,吃鸡手游,http://www.huya.com/shabusi
137,live.html?uid=612291452&id=1511270728822666,映客,颜值,http://www.inke.cn/live.html?uid=612291452&id=1511270728822666
138,3484,斗鱼,星际争霸,https://www.douyu.com/3484
139,live.html?uid=610541418&id=1510729817068094,映客,颜值,http://www.inke.cn/live.html?uid=610541418&id=1510729817068094
140,live.html?uid=605874080&id=1512133356110740,映客,颜值,http://www.inke.cn/live.html?uid=605874080&id=1512133356110740
141,live?anchorid=303441526,企鹅电竞,王者荣耀,http://egame.qq.com/live?anchorid=303441526
142,319538,斗鱼,LOL,https://www.douyu.com/319538
143,live.html?uid=612292737&id=1512132487806544,映客,颜值,http://www.inke.cn/live.html?uid=612292737&id=1512132487806544
144,748396,斗鱼,王者荣耀,https://www.douyu.com/748396
145,896137,哔哩哔哩,放映厅,http://live.bilibili.com/896137
146,live.html?uid=605872713&id=1510727973483776,映客,颜值,http://www.inke.cn/live.html?uid=605872713&id=1510727973483776
147,live.html?uid=610535448&id=1512132744436440,映客,颜值,http://www.inke.cn/live.html?uid=610535448&id=1512132744436440
148,122943,斗鱼,PUBG,https://www.douyu.com/122943
149,live?anchorid=232123776,企鹅电竞,CF荒岛特训,http://egame.qq.com/live?anchorid=232123776
150,1466044,熊猫,熊猫星秀,http://www.panda.tv/1466044
151,575757,熊猫,LOL,http://www.panda.tv/575757
152,2371789,斗鱼,LOL,https://www.douyu.com/2371789
153,live.html?uid=598549183&id=1510729273938683,映客,颜值,http://www.inke.cn/live.html?uid=598549183&id=1510729273938683
154,321358,斗鱼,LOL,https://www.douyu.com/321358
155,lihaitao35,虎牙,吃喝玩乐,http://www.huya.com/lihaitao35
156,live?anchorid=100109,企鹅电竞,CF荒岛特训,http://egame.qq.com/live?anchorid=100109
157,live.html?uid=605873051&id=1510728354649168,映客,颜值,http://www.inke.cn/live.html?uid=605873051&id=1510728354649168
158,205658272,花椒,颜值,http://www.huajiao.com/l/205658272
159,live.html?uid=615820715&id=1512133358654966,映客,颜值,http://www.inke.cn/live.html?uid=615820715&id=1512133358654966
160,sunshen,虎牙,吃鸡手游,http://www.huya.com/sunshen
161,52876,斗鱼,DOTA2,https://www.douyu.com/52876
162,2647956,斗鱼,二次元,https://www.douyu.com/2647956
163,213741771,花椒,跳舞,http://www.huajiao.com/l/213741771
164,16481120,全民,PUBG,http://www.quanmin.tv/16481120
165,xiaoshenzhibojian,虎牙,我的世界,http://www.huya.com/xiaoshenzhibojian
166,102,哔哩哔哩,单机联机,http://live.bilibili.com/102
167,7e9wwkpVT01i-LAN.html,一直播,娱乐星秀,http://www.yizhibo.com/l/7e9wwkpVT01i-LAN.html
168,live.html?uid=613690490&id=1511504673523998,映客,颜值,http://www.inke.cn/live.html?uid=613690490&id=1511504673523998
